uid,iid,rating,timestamp
193,422,3.0,879548121
103,332,2.0,888442305
40,173,4.0,890687264
488,750,5.0,891362773
592,287,4.0,877728878
455,401,2.0,881375416
292,490,4.0,888905923
890,590,4.0,891639497
471,1028,4.0,875983321
544,418,3.0,884134177
393,140,3.0,880888815
266,825,3.0,878971266
319,455,3.0,884748904
337,196,5.0,879438473
765,473,5.0,891309011
415,392,4.0,886316118
932,475,2.0,874854953
317,160,3.0,884496738
271,174,5.0,879455043
824,840,4.0,880756904
312,635,4.0,891028241
582,54,4.0,879384404
335,55,4.0,877757601
509,872,3.0,887667780
100,410,2.0,877136891
918,3,1.0,875374032
822,49,5.0,878438435
662,320,5.0,889491739
13,708,5.0,879119693
867,416,1.0,877108087
150,381,4.0,879528754
884,755,2.0,885713101
879,1118,3.0,880242028
869,178,4.0,875680165
173,93,2.0,886515062
536,181,4.0,886030862
140,290,5.0,884585220
275,280,3.0,874787065
526,542,4.0,879455740
832,400,2.0,875135113
94,225,4.0,879196513
292,321,2.0,888904456
180,1366,2.0,878962086
6,133,4.0,892134959
129,671,5.0,875801920
767,24,4.0,880136157
839,606,4.0,891204627
832,1117,3.0,875133924
141,123,4.0,888640379
917,69,3.0,891988248
112,276,3.0,875076416
847,126,3.0,887038159
397,11,3.0,875658898
736,63,4.0,884314740
591,80,4.0,882956201
84,173,4.0,879454139
89,1200,5.0,891383687
639,346,3.0,886353742
714,110,3.0,875962173
326,182,3.0,887744065
880,194,4.0,876539636
279,75,2.0,891700699
587,361,3.0,890014710
829,691,4.0,891464148
626,160,2.0,879531302
560,927,2.0,885810330
654,905,2.0,888813416
2,321,3.0,889237269
635,221,5.0,891449148
403,332,2.0,883790286
261,558,3.0,879792792
692,116,4.0,875483977
616,241,3.0,883788511
9,179,5.0,877889333
377,90,3.0,880331510
521,199,4.0,876961314
832,577,1.0,875224603
882,6,5.0,891754985
222,254,4.0,891549382
750,322,1.0,888871598
360,683,4.0,879441215
693,498,4.0,875728345
880,560,4.0,876538465
147,77,1.0,877399018
685,298,5.0,879543557
65,49,5.0,883601236
150,628,4.0,879528754
6,502,4.0,891353950
311,442,4.0,891698951
499,207,4.0,883873745
180,1394,1.0,878961847
118,110,5.0,886176779
437,814,5.0,879868581
180,755,2.0,878962866
879,696,2.0,880242281
405,443,3.0,879792928
428,290,4.0,882386309
941,891,3.0,891282644
229,356,5.0,880484391
360,332,2.0,879441490
915,63,5.0,880843996
935,6,4.0,886832221
300,408,4.0,882075242
278,273,3.0,875296792
25,24,3.0,891373727
757,223,4.0,881975922
216,577,5.0,889070087
193,356,4.0,879520916
485,332,2.0,879873973
452,1016,3.0,887942122
243,474,4.0,880603582
895,47,4.0,887158635
886,203,5.0,881380067
278,46,4.0,875296375
623,297,4.0,879792378
835,879,4.0,885753506
922,292,4.0,880387908
108,124,5.0,880564534
158,363,1.0,884026964
803,126,3.0,879440947
254,563,1.0,883216600
642,1073,2.0,891448630
24,97,5.0,885853415
740,163,3.0,891455766
268,728,2.0,891448569
758,331,4.0,881476516
292,604,3.0,888907702
344,237,5.0,884916495
342,1131,4.0,876403746
591,468,4.0,882955825
565,575,2.0,881651013
906,923,5.0,880159240
449,606,5.0,887135753
772,363,4.0,888539875
565,154,2.0,881651225
830,687,1.0,891354424
432,136,5.0,880585904
880,177,3.0,876537512
469,136,3.0,879178406
737,510,4.0,875349584
222,7,2.0,891550684
305,1250,5.0,876504026
547,924,2.0,891415709
477,31,3.0,889395678
691,0,4.0,876953340
9,184,5.0,877888876
503,1117,3.0,887911035
424,402,4.0,878738548
795,228,3.0,893048471
560,47,4.0,885807547
21,553,1.0,878888066
441,634,4.0,883389380
285,1118,3.0,877534054
307,20,3.0,887740729
921,948,5.0,891454320
268,696,4.0,891447931
886,411,5.0,881379188
918,1047,3.0,875289113
644,46,4.0,892054824
377,203,4.0,880056826
262,891,3.0,891297766
626,430,4.0,879531302
560,392,2.0,885810309
319,973,3.0,884749097
404,510,2.0,885546112
895,660,4.0,887158384
365,772,3.0,888858078
313,730,4.0,877892099
235,56,5.0,890116575
586,326,3.0,892871252
748,199,4.0,878848302
272,337,3.0,891293304
879,347,4.0,892958376
770,94,4.0,880659606
777,237,3.0,890725804
325,500,3.0,879876688
15,283,1.0,877719863
196,173,5.0,891409798
7,226,4.0,879362423
532,185,3.0,879438850
797,686,4.0,875295566
863,692,4.0,888888168
708,55,5.0,879848053
632,194,4.0,875324997
